# range of table (0.03,5.025)
0.03 0.5551 -0.0150124 0.402132
0.034995 0.55503 -0.0130038 0.402132
0.03999 0.55497 -0.0110189 0.392598
0.044985 0.55491 -0.0148996 -1.95109
0.04998 0.55483 -0.013293 2.61513
0.054975 0.55478 -0.0100734 -1.36031
0.05997 0.55472 -0.0123612 0.47355
0.064965 0.55466 -0.0125119 -0.551259
0.06996 0.554591 -0.0155009 -0.638828
0.074955 0.554501 -0.0212744 -1.68059
0.07995 0.554381 -0.0250747 0.185209
0.084945 0.554252 -0.0282955 -1.51073
0.08994 0.554092 -0.0353278 -1.28342
0.094935 0.553903 -0.0399647 -0.567625
0.09993 0.553693 -0.0445048 -1.26873
0.104925 0.553454 -0.0515166 -1.5324
0.10992 0.553184 -0.0548839 0.214237
0.114915 0.552905 -0.0587332 -1.81647
0.11991 0.552596 -0.0635897 -0.062649
0.124905 0.552276 -0.0647074 -0.424176
0.1299 0.551947 -0.0673442 -0.627832
0.134895 0.551607 -0.0676884 0.516934
0.13989 0.551277 -0.0641678 0.875585
0.144885 0.550967 -0.0601506 0.722023
0.14988 0.550677 -0.0558056 1.02857
0.154875 0.550416 -0.0475156 2.314
0.15987 0.550214 -0.0319173 3.93948
0.164865 0.550102 -0.0135827 3.34369
0.16986 0.550079 0.00533361 4.27324
0.174855 0.550175 0.0361648 8.15303
0.17985 0.55044 0.0661315 3.59839
0.184845 0.550844 0.102259 11.241
0.18984 0.551495 0.157537 10.6241
0.194835 0.552406 0.205628 8.59502
0.19983 0.553574 0.269616 17.3846
0.204825 0.555111 0.338887 9.78098
0.20982 0.556974 0.418923 23.0162
0.214815 0.559316 0.508775 12.0609
0.21981 0.562064 0.605685 27.7639
0.224805 0.565399 0.719734 16.8484
0.2298 0.569226 0.818389 23.3768
0.234795 0.573652 0.963431 34.8667
0.23979 0.578848 1.10417 20.4123
0.244785 0.584655 1.23101 31.4953
0.24978 0.591203 1.3912 32.1472
0.254775 0.598559 1.55546 33.6855
0.25977 0.606752 1.72561 34.4014
0.264765 0.615838 1.92047 44.032
0.26976 0.625881 2.07709 16.9312
0.274755 0.636641 2.27468 65.9296
0.27975 0.648648 2.48542 13.2708
0.284745 0.661424 2.6827 71.5435
0.28974 0.675549 2.92545 19.7203
0.294735 0.690491 3.08477 48.5971
0.29973 0.70651 3.32591 46.0362
0.304725 0.723683 3.54721 42.637
0.30972 0.741994 3.79924 59.3819
0.314715 0.761518 3.97008 4.96745
0.31971 0.781726 4.20476 97.6339
0.324705 0.803613 4.46394 -5.77124
0.3297 0.826175 4.66785 100.55
0.334695 0.850488 4.9868 14.7797
0.33969 0.875502 5.02547 6.22549
0.344685 0.900982 5.24931 88.684
0.34968 0.928235 5.63054 56.3655
0.354675 0.956777 5.73534 -16.4821
0.35967 0.985677 5.95976 120.111
0.364665 1.01651 6.25203 -22.5059
0.36966 1.04774 6.34996 79.523
0.374655 1.08007 6.48054 -43.8865
0.37965 1.11246 6.65641 136.527
0.384645 1.14684 6.93146 -54.0661
0.38964 1.18135 7.06348 136.099
0.394635 1.21781 7.3677 -43.1785
0.39963 1.25428 7.32819 49.5078
0.404625 1.29163 7.63381 65.403
0.40962 1.3301 7.64717 -70.8701
0.414615 1.3681 7.76874 147.409
0.41961 1.40816 8.07268 -60.9192
0.424605 1.44795 7.96936 47.2378
0.4296 1.48833 8.16733 18.8603
0.434595 1.52951 8.36471 67.4809
0.43959 1.57159 8.33664 -96.6133
0.444585 1.6128 8.40057 158.196
0.44958 1.65606 8.68379 -89.8289
0.454575 1.69859 8.48281 45.7379
0.45957 1.74156 8.68975 20.0218
0.464565 1.78518 8.77644 18.3694
0.46956 1.82936 8.94167 50.3669
0.474555 1.87409 8.81436 -119.359
0.47955 1.9175 8.8409 172.905
0.484545 1.96306 9.12094 -117.515
0.48954 2.00744 8.81106 39.9134
0.494535 2.05201 8.99914 13.7769
0.49953 2.09706 9.02787 1.20737
0.504525 2.14235 9.15486 55.5769
0.50952 2.18811 8.97928 -151.351
0.514515 2.23204 8.93199 187.579
0.51951 2.2782 9.22758 -139.854
0.524505 2.32283 8.82657 36.3729
0.5295 2.36741 8.97346 -5.43884
0.534495 2.41217 8.96713 11.9274
0.53949 2.4571 9.01425 3.29566
0.544485 2.50215 9.02311 1.35037
0.54948 2.54736 9.10904 36.7833
0.554475 2.59282 8.94829 -121.776
0.55947 2.63619 8.52018 -19.8372
0.564465 2.67923 8.87229 166.214
0.56946 2.72474 9.05099 -149
0.574455 2.76832 8.5781 18.4103
0.57945 2.81152 8.68405 -3.87488
0.584445 2.8548 8.64663 -5.37057
0.58944 2.8981 8.73656 46.6043
0.594435 2.94156 8.44002 -199.406
0.59943 2.98234 8.28299 215.645
0.604425 3.02543 8.53804 -220.881
0.60942 3.0662 8.2111 202.968
0.614415 3.10903 8.55582 -172.594
0.61941 3.14979 7.97822 22.4074
0.624405 3.19008 8.10467 -9.41373
0.6294 3.23038 8.03749 -8.50228
0.634395 3.27045 8.01322 -1.7383
0.63939 3.31043 7.98509 -11.4482
0.644385 3.35021 7.95472 2.4366
0.64938 3.3899 7.91172 -25.2072
0.654375 3.42932 7.94699 53.2872
0.65937 3.46892 7.65726 -214.635
0.664365 3.50554 7.42094 214.462
0.66936 3.54442 7.7037 -225.463
0.674355 3.58084 7.30884 195.96
0.67935 3.61924 7.69427 -161.22
0.684345 3.65553 6.98579 -42.6825
0.68934 3.69082 7.33289 183.789
0.694335 3.72883 7.53665 -180.598
0.69933 3.76437 6.90676 14.9634
0.704325 3.79927 7.01674 -14.5082
0.70932 3.83408 6.93869 -4.62513
0.714315 3.86868 6.90131 -15.006
0.71931 3.90298 6.84438 -4.13172
0.724305 3.93708 6.79535 -19.7457
0.7293 3.97093 6.80742 35.0627
0.734295 4.00475 6.52509 -188.881
0.73929 4.03568 6.17569 132.664
0.744285 4.06834 6.78057 36.2752
0.74928 4.10169 6.35145 -218.549
0.754275 4.13172 6.09527 217.287
0.75927 4.1641 6.4019 -241.549
0.764265 4.19376 5.95235 221.401
0.76926 4.2256 6.31867 -237.993
0.774255 4.25479 5.8335 205.912
0.77925 4.28605 6.27331 -182.32
0.784245 4.31507 5.5834 21.9578
0.78924 4.34335 5.62239 -72.0425
0.794235 4.37113 5.76106 194.145
0.79923 4.4016 6.05726 -186.661
0.804225 4.42953 5.36265 19.202
0.80922 4.45683 5.4933 -26.1688
0.814215 4.48388 5.37472 0.970233
0.81921 4.51076 5.37089 -13.1352
0.824205 4.53739 5.29566 -12.6919
0.8292 4.56371 5.24393 -8.18943
0.834195 4.58981 5.20838 -6.45651
0.83919 4.61572 5.16115 -13.8444
0.844185 4.64134 5.10383 -6.43888
0.84918 4.66675 5.06392 -12.2096
0.854175 4.69188 4.99816 -12.7364
0.85917 4.71682 5.02631 31.0542
0.864165 4.74172 4.73215 -195.092
0.86916 4.76357 4.36414 153.007
0.874155 4.78735 4.93787 -34.635
0.87915 4.8114 4.79925 47.3989
0.884145 4.83546 4.58686 -202.992
0.88914 4.85638 4.13801 139.273
0.894135 4.87912 4.82449 34.5373
0.89913 4.90266 4.39688 -208.577
0.904125 4.92284 4.08231 196.035
0.90912 4.94526 4.47007 -206.166
0.914115 4.96519 3.88915 140.892
0.91911 4.9868 4.60516 28.3907
0.924105 5.00916 4.16082 -201.863
0.9291 5.02823 3.86346 194.021
0.934095 5.04955 4.25043 -207.095
0.93909 5.06843 3.71873 172.844
0.944085 5.08911 4.21564 -139.804
0.94908 5.10794 3.45052 -56.9344
0.954075 5.12544 3.75764 184.372
0.95907 5.14578 4.00197 -204.203
0.964065 5.16353 3.50953 177.293
0.96906 5.18321 4.01221 -147.365
0.974055 5.20095 3.24235 -39.8952
0.97905 5.21754 3.55951 155.281
0.984045 5.23672 3.82763 -138.128
0.98904 5.2538 3.14086 -40.8661
0.994035 5.26981 3.43052 152.508
0.99903 5.28837 3.71839 -127.704
1.00403 5.30496 3.03264 -56.94
1.00902 5.32028 3.2943 170.51
1.01402 5.33834 3.60704 -156.15
1.01901 5.35417 2.93818 13.3851
1.02401 5.36932 3.02961 -54.7554
1.029 5.3841 3.10807 162.367
1.034 5.40131 3.46477 -143.245
1.03899 5.41648 2.78296 -10.418
1.04399 5.43074 2.91497 10.4258
1.04898 5.44517 2.80419 -59.8374
1.05398 5.45891 2.91582 166.373
1.05897 5.47521 3.28867 -142.917
1.06397 5.48949 2.60776 -4.81724
1.06896 5.50294 2.75357 3.75708
1.07396 5.51649 2.62563 -52.9705
1.07895 5.52941 2.75308 159.867
1.08395 5.54482 3.10658 -141.204
1.08894 5.55821 2.43132 -3.67093
1.09394 5.57077 2.56589 -5.86355
1.09893 5.58341 2.51069 3.35542
1.10393 5.59591 2.44004 -50.4851
1.10892 5.60786 2.53988 150.456
1.11392 5.62215 2.89497 -128.587
1.11891 5.63463 2.25954 -5.053
1.12391 5.6463 2.38341 -6.23635
1.1289 5.65798 2.29677 -12.4895
1.1339 5.66937 2.28232 8.11655
1.13889 5.68077 2.2236 -49.2898
1.14389 5.69162 2.31271 146.213
1.14888 5.70479 2.68508 -117.117
1.15388 5.71629 2.05499 -19.6294
1.15887 5.72678 2.1424 4.58088
1.16387 5.73742 2.1049 -14.8537
1.16886 5.74776 2.05021 -0.835135
1.17386 5.75804 2.06352 1.7095
1.17885 5.76825 1.98447 -42.8318
1.18385 5.77798 2.08906 139.852
1.18884 5.78996 2.44345 -115.897
1.19384 5.80027 1.82158 -14.5371
1.19883 5.80966 1.9205 -2.76803
1.20383 5.81911 1.86792 -3.93037
1.20882 5.82841 1.85583 -5.38941
1.21382 5.83762 1.83748 1.36797
1.21881 5.84673 1.76759 -42.3652
1.22381 5.85536 1.86335 138.21
1.2288 5.86623 2.22749 -114.007
1.2338 5.87546 1.60534 -11.4743
1.23879 5.88382 1.72321 -3.36528
1.24379 5.89227 1.67032 1.11104
1.24878 5.90057 1.61029 -43.0499
1.25378 5.90839 1.70119 140.953
1.25877 5.91853 2.0955 -109.606
1.26377 5.92709 1.4611 -19.1496
1.26876 5.93466 1.56296 1.61896
1.27376 5.94239 1.53466 0.963503
1.27875 5.95 1.4708 -41.5925
1.28375 5.95712 1.55498 135.212
1.28874 5.96648 1.934 -109.415
1.29374 5.97424 1.30685 -13.3103
1.29873 5.98115 1.45415 10.4985
1.30373 5.9883 1.36324 -46.3728
1.30872 5.99484 1.42937 132.963
1.31372 6.00358 1.81841 -104.744
1.31871 6.01082 1.21515 -6.1698
1.32371 6.01725 1.30367 -37.3098
1.3287 6.02343 1.34026 131.345
1.3337 6.03174 1.74227 -103.215
1.33869 6.0386 1.13516 -6.37579
1.34369 6.04464 1.22289 -40.1405
1.34868 6.05034 1.23185 125.309
1.35368 6.05811 1.65367 -84.9674
1.35867 6.06465 1.03612 -51.2164
1.36367 6.06994 1.2258 124.786
1.36866 6.07748 1.58196 -84.2126
1.37366 6.08372 0.977591 -57.0726
1.37865 6.08863 1.14201 128.51
1.38365 6.09584 1.52716 -83.9441
1.38864 6.10178 0.920062 -52.1075
1.39364 6.10647 1.10171 124.178
1.39863 6.1134 1.46357 -84.1456
1.40363 6.11905 0.862969 -50.3547
1.40862 6.12345 1.03608 115.944
1.41362 6.12998 1.38657 -72.0766
1.41861 6.13539 0.827775 -58.9238
1.42361 6.13949 0.976498 132.323
1.4286 6.14589 1.3304 -119.805
1.4336 6.15067 0.838912 107.677
1.43859 6.1567 1.3186 -114.166
1.44359 6.16133 0.790615 105.325
1.44858 6.16714 1.28188 -112.444
1.45358 6.17158 0.748339 102.743
1.45857 6.17717 1.24544 -105.901
1.46357 6.1815 0.729216 98.4231
1.46856 6.18693 1.20153 -107.301
1.47356 6.19104 0.691506 103.155
1.47855 6.19635 1.18418 -109.654
1.48355 6.2003 0.645523 99.7752
1.48854 6.20538 1.14849 -102.898
1.49354 6.20923 0.626189 95.2804
1.49853 6.21414 1.10487 -103.574
1.50353 6.21778 0.58755 97.3639
1.50852 6.22254 1.09138 -96.2019
1.51352 6.22611 0.527814 57.8923
1.51851 6.23032 1.1064 44.9749
1.52351 6.23568 0.91126 -111.154
1.5285 6.23889 0.543809 55.55
1.5335 6.24291 1.02991 47.3288
1.53849 6.24802 0.879381 -114.314
1.54349 6.25097 0.4787 57.6316
1.54848 6.25475 0.994386 48.9673
1.55348 6.25967 0.839553 -114.418
1.55847 6.26242 0.438805 57.9956
1.56347 6.26601 0.95171 44.5782
1.56846 6.27065 0.778794 -112.391
1.57346 6.27316 0.404339 64.8713
1.57845 6.2766 0.90178 19.7103
1.58345 6.28082 0.770739 -18.5553
1.58844 6.28462 0.792564 30.1708
1.59344 6.2888 0.745097 -109.238
1.59843 6.29099 0.312661 60.2286
1.60343 6.294 0.824332 22.7901
1.60842 6.29787 0.716985 -7.47489
1.61342 6.30147 0.719651 -9.43759
1.61841 6.30495 0.702394 21.2258
1.62341 6.30862 0.649468 -99.2446
1.6284 6.31047 0.257287 57.287
1.6334 6.31312 0.736979 17.8611
1.63839 6.31651 0.615811 -6.14839
1.64339 6.31966 0.645858 -1.03927
1.64838 6.32281 0.613665 -5.90737
1.65338 6.32583 0.598387 0.645299
1.65837 6.32883 0.599148 -4.58616
1.66337 6.33175 0.577212 1.57418
1.66836 6.33467 0.578539 -9.48245
1.67336 6.33741 0.534502 4.03887
1.67835 6.34018 0.563446 -6.27637
1.68335 6.34285 0.511538 -3.30999
1.68834 6.34543 0.523051 3.72897
1.69334 6.34806 0.516754 -11.6018
1.69833 6.35048 0.476418 10.6508
1.70333 6.35302 0.498013 -30.9875
1.70832 6.35515 0.471354 89.1694
1.71332 6.35887 0.866182 -54.737
1.71831 6.3618 0.360743 -26.8262
1.72331 6.36382 0.461194 7.54879
1.7283 6.36606 0.434009 -3.2485
1.7333 6.36818 0.390426 -26.1413
1.73829 6.36992 0.417995 91.2385
1.74329 6.37335 0.805214 -54.3019
1.74828 6.37598 0.302559 -25.4122
1.75328 6.3777 0.373505 -16.9566
1.75827 6.3793 0.369676 84.9887
1.76327 6.38245 0.744396 -55.837
1.76826 6.38476 0.244681 -17.928
1.77326 6.38632 0.360075 -15.7318
1.77825 6.38779 0.321689 73.6268
1.78325 6.3906 0.686173 -37.3117
1.78824 6.39286 0.22672 -54.3854
1.79324 6.39388 0.307325 95.2952
1.79823 6.39671 0.658883 -70.8359
1.80323 6.39849 0.198757 53.1331
1.80822 6.40093 0.666162 -31.917
1.81322 6.40298 0.159693 -58.2074
1.81821 6.40368 0.24703 94.64
1.82321 6.40619 0.600477 -66.4306
1.8282 6.40775 0.161011 55.7005
1.8332 6.40999 0.600483 -57.473
1.83819 6.41149 0.13553 52.2712
1.84319 6.41361 0.582387 -54.4779
1.84818 6.41504 0.11404 45.164
1.85318 6.41696 0.540759 -45.7234
1.85817 6.41832 0.0958921 25.2788
1.86317 6.41994 0.549471 47.3987
1.86816 6.42268 0.433835 -88.6451
1.87316 6.42366 0.0999763 55.0847
1.87815 6.42543 0.494851 -45.9218
1.88315 6.4266 0.0570209 19.8658
1.88814 6.42794 0.484724 50.1815
1.89314 6.43043 0.400045 -86.217
1.89813 6.43121 0.0341678 38.4684
1.90313 6.43254 0.461538 20.0972
1.90812 6.43458 0.360884 10.3825
1.91312 6.43664 0.384028 -70.5832
1.91811 6.43736 0.0103502 32.4289
1.92311 6.43851 0.419144 19.7297
1.9281 6.44035 0.321285 10.4463
1.9331 6.44222 0.345106 -70.7876
1.93809 6.44273 -0.030087 34.835
1.94309 6.44374 0.401567 22.1097
1.94808 6.44546 0.277489 -5.59601
1.95308 6.44698 0.329128 -3.55922
1.95807 6.44847 0.271514 -0.4029
1.96307 6.44991 0.305294 1.3899
1.96806 6.45139 0.27594 -10.546
1.97306 6.45266 0.257406 16.6936
1.97805 6.45415 0.263741 -65.3487
1.98305 6.45436 -0.0869713 24.9218
1.98804 6.45491 0.292955 29.4329
1.99304 6.45627 0.225961 -10.7671
1.99803 6.45737 0.220988 -1.03261
2.00303 6.45845 0.219467 5.56291
2.00802 6.45962 0.221638 -21.2645
2.01302 6.46045 0.191359 64.7258
2.01801 6.46254 0.549159 -29.7915
2.02301 6.46418 0.122079 -33.3569
2.028 6.4649 0.195462 9.79389
2.033 6.46586 0.176154 -5.71555
2.03799 6.46668 0.158423 -1.28567
2.04299 6.46747 0.160261 1.1555
2.04798 6.46826 0.13888 -17.739
2.05298 6.46876 0.133359 60.076
2.05797 6.47047 0.465463 -22.4106
2.06297 6.47184 0.0904496 -33.6425
2.06796 6.47231 0.109555 -8.45769
2.07296 6.4727 0.111581 62.0776
2.07795 6.47433 0.447514 -31.1706
2.08295 6.47545 0.0237197 -26.2221
2.08794 6.4758 0.120507 -7.86679
2.09294 6.4761 0.0626986 53.4967
2.09793 6.47747 0.408469 -18.6237
2.10293 6.47855 0.0109628 -50.8193
2.10792 6.47848 0.0622561 72.1816
2.11292 6.47987 0.386794 -41.2986
2.11791 6.4806 -0.0212192 22.9893
2.12291 6.4816 0.379452 -5.6092
2.1279 6.4826 -0.00737937 -54.7182
2.1329 6.48237 0.0179312 69.0658
2.13789 6.48354 0.347882 -36.7933
2.14289 6.48413 -0.0397336 25.5287
2.14788 6.48504 0.341074 -27.3539
2.15288 6.48558 -0.0634581 22.6136
2.15787 6.48638 0.322339 -26.5154
2.16287 6.48682 -0.0843693 23.4767
2.16786 6.48755 0.32398 -18.2765
2.17286 6.48808 -0.0797999 1.35042
2.17785 6.48852 0.28409 46.6063
2.18285 6.49002 0.219866 -66.9352
2.18784 6.49012 -0.084809 32.9361
2.19284 6.49075 0.276471 -22.2597
2.19783 6.49106 -0.117542 0.67964
2.20283 6.4913 0.241434 50.1635
2.20782 6.49265 0.204467 -65.2488
2.21282 6.49264 -0.126444 20.9705
2.21781 6.49297 0.247449 23.7704
2.22281 6.49395 0.137632 4.30094
2.2278 6.49493 0.204558 -48.5466
2.2328 6.49491 -0.150727 12.0956
2.23779 6.49504 0.204949 26.3836
2.24279 6.49588 0.119986 7.04744
2.24778 6.49678 0.18584 -51.8823
2.25278 6.49661 -0.193635 10.8904
2.25777 6.49656 0.185532 34.5424
2.26277 6.49738 0.105719 -12.3457
2.26776 6.49792 0.1237 4.11859
2.27276 6.49854 0.120128 -4.09589
2.27775 6.49908 0.0975229 -1.10129
2.28275 6.49958 0.101695 -2.24597
2.28774 6.50005 0.0956547 9.99044
2.29274 6.50066 0.0974452 -50.6123
2.29773 6.5002 -0.225736 10.7515
2.30273 6.49989 0.118263 36.2186
2.30772 6.50046 0.0712802 -13.493
2.31272 6.50075 0.0587307 4.60012
2.31771 6.50111 0.0665576 -15.8365
2.32271 6.50118 0.0168158 45.5971
2.3277 6.50222 0.347273 -8.52054
2.3327 6.50313 0.00212061 -36.5256
2.33769 6.50317 0.0497947 10.6216
2.34269 6.50343 0.0387291 -5.82534
2.34768 6.50356 0.0179158 -0.263498
2.35268 6.50367 0.0225548 -4.2634
2.35767 6.50369 -0.0056208 4.44721
2.36267 6.50379 0.030165 -11.736
2.36766 6.50368 -0.0248019 40.7849
2.37266 6.50445 0.285983 -9.35531
2.37765 6.50506 -0.0573325 -33.9812
2.38265 6.50485 -0.0044908 -1.43438
2.38764 6.50463 -0.0448876 39.6601
2.39264 6.50528 0.264289 -5.02503
2.39763 6.50586 -0.0529945 -35.0514
2.40263 6.5056 -0.0272283 -4.03576
2.40762 6.50528 -0.0648087 39.7676
2.41262 6.50583 0.244086 -3.88373
2.41761 6.5063 -0.0875724 -50.0266
2.42261 6.50568 -0.0761818 54.3905
2.4276 6.50621 0.227194 -17.0649
2.4326 6.50645 -0.112639 2.31243
2.43759 6.50669 0.208076 6.21858
2.44259 6.50705 -0.106181 -49.0432
2.44758 6.50634 -0.0956461 50.6194
2.45258 6.50671 0.184617 -16.9399
2.45757 6.50677 -0.133298 9.00441
2.46257 6.50699 0.198754 -11.5064
2.46756 6.50698 -0.183142 5.45056
2.47256 6.50706 0.203684 -2.89854
2.47755 6.5071 -0.182214 -0.655602
2.48255 6.5071 0.179744 -0.460024
2.48754 6.50711 -0.176955 -2.66165
2.49254 6.50704 0.152876 3.58698
2.49753 6.50705 -0.163972 -15.3778
2.50253 6.50675 0.0972791 48.7011
2.50752 6.5075 0.123274 -48.1749
2.51252 6.50722 -0.188001 10.4928
2.51751 6.50711 0.133742 -3.95881
2.52251 6.50692 -0.211891 -7.85219
2.5275 6.50659 0.113527 35.8466
2.5325 6.50706 0.0427199 -3.41747
2.53749 6.50746 0.0905836 -34.1762
2.54249 6.50706 -0.223373 -3.39312
2.54748 6.50661 0.0824035 45.9865
2.55248 6.50715 0.0566206 -47.0136
2.55747 6.50666 -0.215228 -1.09417
2.56247 6.50614 0.0390966 36.486
2.56746 6.50643 0.0397246 -11.1617
2.57246 6.50652 0.0119993 8.29562
2.57745 6.50676 0.047619 -34.0698
2.58245 6.50621 -0.240882 -1.54108
2.58744 6.50564 0.0454021 34.4306
2.59244 6.50584 -0.0079185 -12.5206
2.59743 6.50579 0.0022398 3.20369
2.60243 6.5058 -0.00110213 -0.257655
2.60742 6.50581 0.00219566 -2.1752
2.61242 6.50576 -0.0217428 -2.67717
2.61741 6.50565 -0.0192742 0.507988
2.62241 6.50555 -0.0209109 0.654583
2.6274 6.50546 -0.017084 -3.12192
2.6324 6.5053 -0.0443283 0.285671
2.63739 6.50515 -0.0157778 0.918869
2.64239 6.50501 -0.0427416 -2.84344
2.64738 6.50481 -0.0367029 -2.11488
2.65238 6.50456 -0.0641917 -0.0934056
2.65737 6.5043 -0.0360631 1.30348
2.66237 6.50407 -0.0617615 -3.92739
2.66736 6.50375 -0.0602031 1.78153
2.67236 6.50347 -0.0573462 -3.1774
2.67735 6.50311 -0.0836468 -0.409012
2.68235 6.50275 -0.0580927 3.31922
2.68734 6.50245 -0.0744296 -11.3496
2.69234 6.50191 -0.107412 29.2889
2.69733 6.50207 0.155182 6.42743
2.70233 6.50233 -0.0944274 -38.7336
2.70732 6.50174 -0.0987701 8.8358
2.71232 6.5013 -0.093192 -9.35839
2.71731 6.50067 -0.12872 28.4132
2.72231 6.50072 0.135867 6.78123
2.7273 6.50087 -0.116125 -36.8111
2.7323 6.50023 -0.109195 -0.316248
2.73729 6.49954 -0.149736 25.1319
2.74229 6.49947 0.114047 9.76818
2.74728 6.49955 -0.128654 -43.5466
2.75228 6.49872 -0.141922 33.6923
2.75727 6.49863 0.0880806 7.31135
2.76227 6.49866 -0.121894 -43.0488
2.76726 6.49776 -0.171244 35.5131
2.77226 6.49767 0.106866 -3.44134
2.77725 6.49744 -0.211248 -9.14887
2.78225 6.49712 0.111258 13.7266
2.78724 6.49697 -0.206844 -18.8074
2.79224 6.49654 0.0775881 23.2154
2.79723 6.49648 -0.166528 -48.4545
2.80223 6.49542 -0.187538 37.2553
2.80722 6.49518 0.0628939 -4.09652
2.81222 6.4948 -0.228626 -7.41874
2.81721 6.49436 0.0870299 16.9798
2.82221 6.49417 -0.213978 -29.737
2.8272 6.49346 0.000551777 49.5264
2.8322 6.49377 0.0541665 -36.6732
2.83719 6.49325 -0.243319 -5.54565
2.84219 6.49268 0.0424114 15.7671
2.84718 6.49233 -0.219593 -16.8317
2.85218 6.49174 0.0187887 13.4549
2.85717 6.49131 -0.230683 -22.3812
2.86217 6.49052 -0.0214069 47.3689
2.86716 6.49072 0.0339059 -33.9693
2.87216 6.49014 -0.256535 -12.1956
2.87715 6.48937 -0.0034206 36.0233
2.88215 6.48932 -0.0556297 -5.2059
2.88714 6.48923 0.0170532 -18.6562
2.89214 6.48862 -0.273148 -19.5888
2.89713 6.48768 -0.0388842 48.2003
2.90213 6.48773 -0.0087569 -35.1341
2.90712 6.487 -0.27397 -9.95967
2.91212 6.48612 -0.0289135 38.5129
2.91711 6.48602 -0.0607414 -15.6313
2.92211 6.48564 -0.0681978 10.0165
2.9271 6.48547 -0.0260613 -24.2599
2.9321 6.48467 -0.293566 -14.0574
2.93709 6.48367 -0.0524537 41.709
2.94209 6.48351 -0.0594824 -12.9178
2.94708 6.48313 -0.0800496 -0.207299
2.95208 6.48273 -0.0796437 -0.179507
2.95707 6.48233 -0.0813629 0.854954
2.96207 6.48195 -0.0749688 -3.22544
2.96706 6.48148 -0.109096 2.08984
