# range of table (0,6.26256)
0 0 1.00007 -0.0141054
0.00626256 0.00626275 0.999986 -0.0141054
0.0125251 0.0125249 0.999897 -0.0141054
0.0187877 0.0187866 0.999808 -0.015787
0.0250502 0.0250476 0.999684 -0.0236269
0.0313128 0.0313076 0.999512 -0.0314668
0.0375754 0.0375665 0.999292 -0.0382805
0.0438379 0.0438238 0.999035 -0.0437281
0.0501005 0.0500794 0.998744 -0.0491757
0.056363 0.0563331 0.998417 -0.0557361
0.0626256 0.0625846 0.998045 -0.0629131
0.0688882 0.0688337 0.997629 -0.0700901
0.0751507 0.07508 0.997173 -0.0752065
0.0814133 0.0813233 0.996687 -0.0799816
0.0876758 0.0875635 0.996171 -0.0850198
0.0939384 0.0938004 0.995612 -0.0934259
0.100201 0.100034 0.995001 -0.101832
0.106464 0.106263 0.994338 -0.109197
0.112726 0.112488 0.993639 -0.113975
0.118989 0.118708 0.99291 -0.118753
0.125251 0.124924 0.992151 -0.124019
0.131514 0.131135 0.991356 -0.129769
0.137776 0.137341 0.990525 -0.135519
0.144039 0.143541 0.989656 -0.142603
0.150301 0.149736 0.988739 -0.150217
0.156564 0.155925 0.987774 -0.15783
0.162827 0.162108 0.986766 -0.164189
0.169089 0.168285 0.985718 -0.170454
0.175352 0.174454 0.984631 -0.176206
0.181614 0.180617 0.983519 -0.178923
0.187877 0.186773 0.98239 -0.181641
0.194139 0.192922 0.98124 -0.187399
0.200402 0.199063 0.980032 -0.198576
0.206664 0.205196 0.978753 -0.209753
0.212927 0.211322 0.977414 -0.215734
0.21919 0.217439 0.976056 -0.217855
0.225452 0.223547 0.974685 -0.219976
0.231715 0.229647 0.973288 -0.227245
0.237977 0.235737 0.971838 -0.235897
0.24424 0.241819 0.970334 -0.24454
0.250502 0.247891 0.968784 -0.250283
0.256765 0.253953 0.967199 -0.256025
0.263028 0.260005 0.965578 -0.261339
0.26929 0.266047 0.963929 -0.265109
0.275553 0.272078 0.962257 -0.26888
0.281815 0.278099 0.960559 -0.274256
0.288078 0.284109 0.958818 -0.281746
0.29434 0.290108 0.95703 -0.289236
0.300603 0.296096 0.955194 -0.297534
0.306865 0.302072 0.953303 -0.306274
0.313128 0.308036 0.951358 -0.315014
0.319391 0.313988 0.949378 -0.316248
0.325653 0.319927 0.947397 -0.316267
0.331916 0.325854 0.945416 -0.317219
0.338178 0.331769 0.943391 -0.329637
